departement;departement_name;dienststelle;dienststelle_name;spezialfinanzierung;spezialfinanzierung_name;konto;konto_name;projekt;projekt_name;budget_2027_ausgaben;budget_2027_einnahmen;budget_2026_ausgaben;budget_2026_einnahmen;rechnung_2025_ausgaben;rechnung_2025_einnahmen;seite
20;Regierungsrat/Staatskanzlei;2030;Staatsarchiv;;;5200.00;Software;ITP5016;VK Digitalisierungsoffensive Staatsarchiv/Digitaler Lesesaal;;;92000.0;;119855.65;;259
21;Departement des Innern;2131;Gesundheitsamt/Kantonsärztlicher Dienst;;;5200.00;Software;ITP5034;VK Einführung Sirona;170000.0;;370000.0;;;;260
21;Departement des Innern;2131;Gesundheitsamt/Kantonsärztlicher Dienst;;;5540.00;Öffentliche Unternehmungen;IPR0326;VK Gesundheitszentrum Klettgau;2000000.0;;;;;;260
21;Departement des Innern;2132;Spitalversorgung;;;5640.00;Öffentliche Unternehmungen;IPR0298;VK Kantonsbeitrag an Spitalneubau;;;70000000.0;;;;260
21;Departement des Innern;2170;Sozialamt;;;5200.00;Software;ITP5023;Papierloses Büro Sozialamt;;;200000.0;;;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0218;VK Neubau Notunterkunft Summerwis;400000.0;;400000.0;;;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0240;Stiftung altra Schaffhausen: Sanierung Rhyblick Grabenstrasse;;;;;925000.0;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0242;Stiftung Wohnheim Ungarbühl, Schaffhausen: Sanierung Energieversorgung gesamte Institution;;;;;315000.0;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0254;Ilgenpark Ersatz Heizungsanlage;;;;;250000.0;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0256;Stiftung Schönhalde Erweiterung Beschäftigungsangebot (Industrie, Werkstätten, Kreativateliers) Ausbau Mietflächen;;;;;266286.0;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0307;VK Investitionsbeitrag Stiftung Altra Sanierung 4. OG Mühlenstrasse 56;2000000.0;;;;;;260
21;Departement des Innern;2184;Soziale Einrichtungen;;;5660.00;Private Organisationen ohne Erwerbszweck;IPR0327;VK Investitionsbeitrag Stiftung Ungarbühl Sanierung Ungarbühlstrasse 14;445000.0;;;;;;260
21;Departement des Innern;2196;Digitale Verwaltung Schaffhausen;;;5200.00;Software;ITP5014;VK Neuer Webauftritt Kanton Schaffhausen;451000.0;;245800.0;;1620.0;;261
21;Departement des Innern;2196;Digitale Verwaltung Schaffhausen;;;5200.00;Software;ITP5014-1;Zusatzkredit VK Neuer Webauftritt Kanton Schaffhausen;600000.0;;254200.0;;;;261
21;Departement des Innern;2196;Digitale Verwaltung Schaffhausen;;;5200.00;Software;ITP5017;VK eGovernment Basisinfrastruktur;330600.0;;240000.0;;59352.1;;261
21;Departement des Innern;2196;Digitale Verwaltung Schaffhausen;;;5200.00;Software;ITP5021;VK Aufbau SOC/SIEM;;;;;31131.0;;261
21;Departement des Innern;2196;Digitale Verwaltung Schaffhausen;;;5200.00;Software;ITP5024;VK Einführung Vorlagenmanagement;45000.0;;45000.0;;765.0;;261
