departement;departement_name;dienststelle;dienststelle_name;spezialfinanzierung;spezialfinanzierung_name;konto;bezeichnung;rechnung_2025;budget_2025;rechnung_2024;abweichung;prozent;kommentar;seite
10;Kantonsrat;1000;Kantonsrat;;;3000.00;Löhne Behörden, Richter und Richterinnen;364583.9;795700.0;293567.8;-431116.1;-54.18;Sitzungsgelder Kantonsrat werden ab;167
10;Kantonsrat;1000;Kantonsrat;;;3000.10;Sitzungsgelder Kommissionen;666983.7;208800.0;186040.0;458183.7;219.44;Vgl. Kommentar Konto 1000.3000.00.;167
10;Kantonsrat;1000;Kantonsrat;;;3010.00;Löhne des Verwaltungs- und Betriebspersonals;327560.6;381700.0;254856.9;-54139.4;-14.18;Besetzung der Stelle eines;167
10;Kantonsrat;1000;Kantonsrat;;;3010.95;Rückerstattungen Taggelder UV, EO, MSE, MV, IV für Verwaltungs- und Betriebspersonal;-16381.45;;;-16381.45;;;167
10;Kantonsrat;1000;Kantonsrat;;;3050.00;AG-Beiträge AHV, IV, EO, ALV, Verwaltungskosten;51681.45;90100.0;29678.5;-38418.55;-42.64;;167
10;Kantonsrat;1000;Kantonsrat;;;3052.00;AG-Beiträge an Pensionskassen;41764.2;52400.0;30521.25;-10635.8;-20.3;;167
10;Kantonsrat;1000;Kantonsrat;;;3053.00;AG-Beiträge an Unfallversicherungen;1619.0;7500.0;1299.1;-5881.0;-78.41;;167
10;Kantonsrat;1000;Kantonsrat;;;3054.00;AG-Beiträge an Familienzulagekassen;10357.7;18000.0;5942.2;-7642.3;-42.46;;167
10;Kantonsrat;1000;Kantonsrat;;;3059.10;AG-Beiträge Sozialfonds;629.2;1100.0;362.25;-470.8;-42.8;;167
10;Kantonsrat;1000;Kantonsrat;;;3090.00;Aus- und Weiterbildung des eigenen Personals;100.0;6000.0;280.0;-5900.0;-98.33;;167
10;Kantonsrat;1000;Kantonsrat;;;3099.00;Übriger Personalaufwand;23606.0;11000.0;18663.55;12606.0;114.6;Präsidentenfeier;168
